시도,시군구코드,시군구명,위도,경도,축척,행정구역최소X좌표,행정구역최소Y좌표,행정구역최대X좌표,행정구역최대Y좌표,매핑코드,상태,자치구구분,지진해일발생분류,지진구역
42,790,화천군,38.13766079,127.68504966,100000,127.43053541,37.99231443,127.91449832,38.29108071,42790,Y,Y,,1
42,800,양구군,38.18795133,127.99658516,100000,127.84047908,38.00125461,128.1652951,38.34358882,42800,Y,Y,,1
42,810,인제군,38.06807808,128.2626978,200000,127.97719954,37.81169551,128.51307157,38.3777657,42810,Y,Y,,1
42,820,고성군,38.37845217,128.39714155,100000,128.20391242,38.18921825,128.5869525,38.61694393,42820,Y,Y,Y,1
42,830,양양군,38.00474272,128.59516382,100000,128.40410531,37.86188258,128.8093796,38.1616735,42830,Y,Y,Y,1
43,110,청주시,36.6498,127.5077,50000,127.446,36.585,127.558,36.72,43110,N,Y,,1
43,111,청주시상당구,36.59229021,127.58501224,50000,127.44595715,36.4031103,127.76995775,36.72977557,43111,Y,N,,1
43,112,청주시서원구,36.5473885,127.43863019,25000,127.37204361,36.44962297,127.50019474,36.64657183,43110,Y,N,,1
43,113,청주시흥덕구,36.64680033,127.36922167,50000,127.27670577,36.56153442,127.48144927,36.72480782,43113,Y,N,,1
43,114,청주시청원구,36.72047752,127.490942,25000,127.31696991,36.64465056,127.61875796,36.77970214,43110,Y,N,,1
43,130,충주시,37.01525648,127.89569274,100000,127.6508725,36.79645649,128.13397806,37.21691304,43130,Y,Y,,1
43,150,제천시,37.06008939,128.14099779,100000,127.9212746,36.81267879,128.33341098,37.25850691,43150,Y,Y,,1
43,710,청원군,36.5569,127.4891,100000,127.276689,36.403108,127.76994,36.779703,43710,N,N,,1
43,720,보은군,36.49002168,127.72945478,100000,127.51564787,36.36881691,127.90677993,36.61374042,43720,Y,Y,,1
43,730,옥천군,36.3205702,127.65671215,100000,127.4861538,36.17069205,127.89134627,36.44521238,43730,Y,Y,,1
43,740,영동군,36.15954642,127.8143604,100000,127.59020018,36.01196058,128.06311738,36.31653552,43740,Y,Y,,1
43,745,증평군,36.78653542,127.60457033,50000,127.53696052,36.70123115,127.66491949,36.85877304,43745,Y,Y,,1
43,750,진천군,36.87082212,127.44047949,100000,127.28975012,36.74823449,127.5851289,37.0119064,43750,Y,Y,,1
43,760,괴산군,36.76950211,127.8296086,100000,127.62059725,36.60196761,128.07394822,36.94750575,43760,Y,Y,,1
43,770,음성군,36.97597869,127.61442337,100000,127.4452742,36.83424443,127.79839512,37.15402807,43770,Y,Y,,1
